Name,City,Latitude,Longitude,Address,Rating,SchoolType
Chinese Immersion School At Deavila,San Francisco,37.769871,-122.444336,94117,9,public
Da Vinci Charter Academy,Davis,38.552822,-121.733353,95616,9,charter
La Canada Elementary School,La Canada,34.208569,-118.205803,91011,9,public
Palm Crest Elementary School,La Canada,34.222172,-118.218491,91011,9,public
Paradise Canyon Elementary School,La Canada,34.208759,-118.187737,91011,9,public
Stevenson Elementary School,Mountain View,37.403496,-122.083923,94043,9,public
Western Sierra Collegiate Academy,Rocklin,38.812359,-121.298218,95765,9,charter
Cornerstone Academy Preparatory School,San Jose,37.32563,-121.853027,95122,9,charter
Puc Lakeview Charter High School,Burbank,34.314739,-118.459557,91342,9,charter
Sierra Expeditionary Learning School,Truckee,39.324657,-120.208984,96161,9,charter
Accelerated Achievement Academy,Hollister,36.85651,-121.417313,95023,9,public
Inspire School of Arts and Sciences,Chico,39.734634,-121.848114,95926,9,charter
"Math, Science, & Technology Magnet Academy At Roosevelt High",Los Angeles,34.037521,-118.212006,90033,9,public
West Creek Academy,Santa Clarita,34.458256,-118.568787,91354,9,public
Fremont Elementary School,Long Beach,33.771191,-118.144592,90814,9,public
Gilroy Prep School,Gilroy,37.015465,-121.568069,95020,9,charter
Pacific Law Academy,Stockton,37.983559,-121.323425,95207,9,charter
Oxford Preparatory Academy - South Orange County,Mission Viejo,33.629208,-117.658424,92691,9,charter
Hidden Valley Elementary,San Anselmo,38.005577,-122.573685,94960,9,public
The Academy for Enriched Sciences,Los Angeles,34.17514,-118.515305,91316,9,public
Harold William Kolb,Dublin,37.712048,-121.858841,94568,9,public
Mission Preparatory School,San Francisco,37.75544,-122.408569,94110,9,charter
Lowell Elementary School,Long Beach,33.765377,-118.132202,90803,9,public
Newcomb Academy,Long Beach,33.816231,-118.080055,90808,9,public
Prisk Elementary School,Long Beach,33.802063,-118.116951,90815,9,public
Tincher Preparatory School,Long Beach,33.787983,-118.100838,90815,9,public
El Portal Elementary School,Whittier,33.933193,-117.965538,90631,9,public
Meadow Green Elementary School,Whittier,33.922047,-117.988831,90604,9,public
Willow Elementary School,Calabasas,34.158623,-118.757835,91301,9,public
Yu Ming Charter School,Hayward,37.847374,-122.283562,94608,9,charter
Grand View Elementary School,Manhattan Beach,33.894386,-118.412613,90266,9,public
Manhattan Beach Middle School,Manhattan Beach,33.889107,-118.383873,90266,9,public
Mira Costa High School,Manhattan Beach,33.873657,-118.389793,90266,9,public
Pacific Elementary School,Manhattan Beach,33.889008,-118.402512,90266,9,public
Aurelia Pennekamp Elementary School,Manhattan Beach,33.879444,-118.388245,90266,9,public
Opal Robinson Elementary School,Manhattan Beach,33.878021,-118.403671,90266,9,public
Reedley Middle College High,Reedley,36.605392,-119.460007,93654,9,charter
Porter Ranch Community School,Los Angeles,34.293591,-118.581764,91326,9,public
Meadows Elementary School,Valencia,34.391453,-118.554878,91355,9,public
Riverside Stem Academy,Riverside,33.968815,-117.313217,92507,9,public
Stevenson Ranch Elementary School,Valencia,34.390938,-118.595985,91381,9,public
Valencia Valley Elementary School,Valencia,34.408504,-118.547226,91355,9,public
Public Safety Academy,Fairfield,38.276814,-122.037834,94533,9,public
Gardenhill Elementary School,Norwalk,33.911842,-118.02227,90638,9,public
Ernest S. McBride Sr. High School,Long Beach,33.830803,-118.098045,90808,9,public
Delevan Drive Elementary School,Los Angeles,34.127544,-118.227219,90065,9,public
Fairburn Avenue Elementary School,Los Angeles,34.059158,-118.431145,90024,9,public
Robert Frost Middle School,Los Angeles,34.294872,-118.511635,91344,9,public
Cornell Elementary School,Berkeley,37.889767,-122.29538,94706,9,public
Granada Hills Charter High School,Granada Hills,34.260891,-118.525368,91344,9,charter
Ivanhoe Elementary School,Los Angeles,34.108788,-118.266899,90039,9,public
Hillcrest Elementary School,Oakland,37.840755,-122.23246,94618,9,public
Kenter Canyon Elementary School,Los Angeles,34.070724,-118.48909,90049,9,charter
